Altitude,Atmospheric Pressure,Static Air Temperature,Atmospheric Density
6104.108272,37197.42188,248.4797058,0.521497537
6210.611311,36494.86328,247.4011383,0.513878435
6318.231042,35795.78516,246.3128204,0.506261872
6418.600871,35153.69922,245.2996368,0.499234365
6536.922629,34408.65625,244.1073761,0.491040321
6648.036477,33720.89063,242.9905548,0.483437115
6760.314869,33037.17188,241.8645782,0.475839991
6873.79296,32357.65039,240.7295837,0.468250078
6988.475633,31682.45508,239.5858002,0.460668056
7104.384373,31011.74023,238.4334259,0.453095077
7221.543594,30345.63672,237.2726746,0.445531971
7349.089415,29633.61914,236.0135651,0.437399291
7478.097141,28927.28711,234.7453308,0.429280428
7608.605835,28226.81836,233.468338,0.421176646
7740.585709,27532.37305,232.1829681,0.413089001
7874.11831,26844.12305,230.8896027,0.405018807
7999.454236,26210.73633,229.681839,0.397541901
8126.144158,25582.97852,228.4679108,0.390082297
8254.170008,24960.99023,227.2482452,0.382641101
8393.566827,24297.77539,225.9288025,0.374649587
8524.446174,23688.21484,224.6985321,0.36725054
8656.732738,23084.84766,223.4638977,0.3598736
8790.39234,22487.88281,222.4885254,0.352104274
8925.501151,21899.37305,222.3318634,0.343131287
9062.017179,21320.20508,222.173111,0.334295266
9210.677609,20707.00977,221.9998779,0.324933881
9350.219985,20147.45703,221.8370819,0.316385404
9491.228172,19597.42773,221.6725311,0.30797647
9633.712912,19056.96094,221.5063477,0.299707639
9788.848887,18485.63086,221.3257599,0.290959578
9934.472279,17965.05664,221.1566925,0.282982025
10081.58394,17454.06055,220.9865112,0.275144641
10230.25712,16952.5957,220.8153687,0.267446706
10380.46545,16460.62695,220.6434631,0.259887656
10543.95293,15941.34668,220.4577026,0.251901106
10697.39073,15468.83984,220.2848663,0.244626458
10852.45156,15005.61035,220.1119385,0.237487312
11009.05048,14551.7168,219.9391479,0.230484668
11130.59117,14208.9209,219.806488,0.225190951
11314.68492,13705.07129,219.6082001,0.217401778
11475.98302,13278.41113,219.4373474,0.210797721
11638.9022,12860.99414,219.2677002,0.204329101
11803.47177,12452.75098,219.0996094,0.197994919
11956.83345,12083.97559,218.9460754,0.192266234
12124.58463,11693.1123,218.7818756,0.186186902
12293.98424,11311.17676,218.6201935,0.180238623
12465.05181,10938.12598,218.4614563,0.174420867
12637.81663,10573.91406,218.306015,0.168733152
12812.29238,10218.46973,218.1542969,0.163174555
12988.4605,9871.708008,218.0067444,0.157743952
13166.39032,9533.523438,217.8638153,0.152439908
13359.93425,9178.775391,217.7155762,0.146867461
13541.49003,8857.884766,217.5837555,0.141818832
13724.80557,8545.012695,217.4580536,0.136888688
13924.20883,8217.033203,217.3301849,0.131711998
14111.21574,7920.780762,217.2189941,0.127028316
14300.07421,7632.489258,217.1156769,0.122463133
14475.96405,7373.400879,217.0278473,0.118353942
14683.26863,7079.595703,216.9351807,0.113686479
14877.87999,6814.862793,216.859314,0.109473596
15089.56247,6538.374023,216.7893829,0.105065975
15288.04098,6289.515625,216.736145,0.101091863
15488.42867,6048.124023,216.6949615,0.097230433
15690.72259,5814.063965,216.666626,0.093479877
15894.92762,5587.179199,216.651947,0.089838057
16101.07113,5367.296387,216.7746582,0.086253636
16309.13746,5154.224121,217.0325623,0.08273109
16519.18621,4947.75,217.2928925,0.079321802
16731.19393,4747.644043,217.5556488,0.076021797
16945.20359,4553.748535,217.8208466,0.072828262
17160.90854,4366.019531,218.088501,0.06974021
17395.4727,4170.694336,218.3795166,0.066531422
17632.37668,3982.402832,218.6734161,0.063442391
17854.50542,3813.785156,218.9489441,0.06067974
18078.65954,3651.084961,219.227005,0.058017396
18304.93668,3494.212158,219.5075989,0.05545364
18533.25092,3343.066162,219.7907715,0.052986577
18763.70578,3197.53418,220.0765228,0.050614136
18996.25436,3057.48877,220.3648529,0.048334017
19230.93379,2922.789063,220.6558228,0.046143701
19467.75383,2793.280518,220.9494019,0.044040482
19706.7555,2668.795654,221.245636,0.042021442
19947.88996,2549.146973,221.5445404,0.040083365
20191.25096,2434.134766,221.8461151,0.038222856
20436.77016,2323.542236,222.1503906,0.036436264
20703.67197,2209.11499,222.4811096,0.034590395
20953.83761,2106.929932,222.7910461,0.032944484
21206.23761,2008.400635,223.1037292,0.031359842
21460.8583,1913.450928,223.4191742,0.029835082
21717.79147,1822.062256,223.7373962,0.028369715
21976.9922,1734.200928,224.0584259,0.026963017
22198.12884,1662.582275,224.3322601,0.02581795
22481.94458,1574.997681,224.6837158,0.024419607
22747.91089,1497.193115,225.0130157,0.023179311
23016.24045,1422.722778,225.3451843,0.021993905
23286.89813,1351.520508,225.6802368,0.020862169
23559.92102,1283.513306,226.0181885,0.01978278
23835.35014,1218.622559,226.3590393,0.018754337
24134.63842,1152.124268,226.7294006,0.017701979
24415.04602,1093.415771,227.0763855,0.016774273
24697.90281,1037.528809,227.4263153,0.015892411
24983.20295,984.3500977,227.7792358,0.015054482
25270.91908,933.758606,228.1351624,0.014258464
25561.15668,885.6237183,228.4941101,0.013502201
25808.64076,846.7097168,229.0717468,0.012876367
26126.25115,799.4390869,230.1852264,0.012098688
26423.77189,757.6470337,231.2417145,0.011413822
26723.61552,717.7056274,232.3196259,0.010761946
27026.22395,679.4441528,233.4186096,0.010140249
27331.39238,642.8591309,234.5382538,0.009548441
27639.13582,607.958313,235.6782074,0.008986379
27949.46929,574.7127075,236.8379822,0.008453368
28262.40791,543.0895386,238.0171051,0.007948654
28577.96681,513.0531616,239.2150879,0.007471437
28896.1612,484.5648193,240.4313507,0.007020873
29217.00634,457.581665,241.6653442,0.00659606
29540.51754,432.0575867,242.9163971,0.006196053
29866.71016,407.9427795,244.1838531,0.005819862
30195.59962,385.1836853,245.4670105,0.005466446
30527.20142,363.72229,246.7651062,0.005134717
30861.53108,343.4967041,248.0773621,0.004823539
31198.60422,324.4411621,249.4029083,0.004531738
31538.4365,306.4849854,250.74086,0.004258086
31881.04367,289.5532227,252.090271,0.004001314
32226.44155,273.56604,253.4501953,0.003760104
32574.64604,258.4391174,254.8195343,0.0035331
32925.67312,244.0827789,256.1972046,0.003318892
33279.53886,230.4023132,257.5820923,0.003116029
33636.25946,217.3014679,258.9729309,0.002923066
33995.8512,204.7905731,260.3684387,0.002740009
34358.33046,192.8896637,261.767395,0.002566987
34723.71375,181.5872345,263.168335,0.00240371
35092.01768,170.8705597,264.5698242,0.002249869
35463.25895,160.7256622,265.9703064,0.002105147
35837.45439,151.1374969,267.3682861,0.001969213
36214.62093,142.0899353,268.7619934,0.001841729
36594.77562,133.5651855,270.1498413,0.00172234
36977.93561,125.544548,271.5299072,0.001610685
37364.11818,118.0079041,272.9003906,0.00150639
37753.34073,110.9337006,274.2592773,0.00140907
38054.8223,105.7923279,274.5750732,0.001342219
38449.46622,99.47916412,274.5751343,0.001262122
38847.19884,93.56130981,274.5751953,0.00118704
39124.37093,89.68165588,274.5752258,0.001137818
39558.50101,83.97512054,274.5752869,0.001065417
39964.88045,79.00544739,274.5753479,0.001002365
